Symbol,20191121
SPY_112919P311.5,2096:310.58:34740957:2.05:1579
SPY_112919P312,5295:310.58:34740957:2.39:3152
SPY_112919P312.5,2876:310.58:34740957:2.69:2378
SPY_112919P313,4918:310.58:34740957:3.09:2622
SPY_112919P313.5,1698:310.58:34740957:3.44:234
SPY_112919P314,2682:310.58:34740957:3.9:390
SPY_112919P314.5,755:310.58:34740957:4.23:627
SPY_112919P315,4088:310.58:34740957:4.76:1026
SPY_120219P301,1970:310.58:34740957:0.33:57
SPY_120219P302,3464:310.58:34740957:0.35:46
SPY_120219P303,12012:310.58:34740957:0.4:47
SPY_120219P304,6452:310.58:34740957:0.49:109
SPY_120219P305,6774:310.58:34740957:0.64:273
SPY_120219P306,2541:310.58:34740957:0.72:993
SPY_120219P307,17489:310.58:34740957:0.95:817
SPY_120219P308,24857:310.58:34740957:1.17:895
SPY_120219P309,6908:310.58:34740957:1.42:581
SPY_120219P310,4801:310.58:34740957:1.71:1513
SPY_120219P311,954:310.58:34740957:2.13:1066
SPY_120219P312,2732:310.58:34740957:2.59:637
SPY_120219P313,298:310.58:34740957:3.04:183
SPY_120219P314,2519:310.58:34740957:4.04:35
SPY_120219P315,291:310.58:34740957:4.57:136
SPY_120219P316,346:310.58:34740957:5.49:32
SPY_120219P317,586:310.58:34740957:6.71:5
SPY_120219P318,100:310.58:34740957:8.34:6
SPY_120219P319,11:310.58:34740957:7.57:0
SPY_120219P320,22:310.58:34740957:7.95:0
SPY_120419P301,2523:310.58:34740957:0.62:89
SPY_120419P302,733:310.58:34740957:0.58:430
SPY_120419P303,5861:310.58:34740957:0.72:364
SPY_120419P304,2826:310.58:34740957:0.72:241
SPY_120419P305,1556:310.58:34740957:0.9:596
SPY_120419P306,2683:310.58:34740957:1.09:615
SPY_120419P307,1690:310.58:34740957:1.26:458
SPY_120419P308,1296:310.58:34740957:1.36:610
SPY_120419P309,700:310.58:34740957:1.76:121
SPY_120419P310,731:310.58:34740957:2.03:714
SPY_120419P311,624:310.58:34740957:2.4:121
SPY_120419P312,382:310.58:34740957:2.75:346
SPY_120419P313,254:310.58:34740957:3.53:126
SPY_120419P314,298:310.58:34740957:4.21:93
SPY_120419P315,68:310.58:34740957:4.73:16
SPY_120419P316,143:310.58:34740957:5.76:7
SPY_120419P317,414:310.58:34740957:6.27:11
SPY_120419P318,447:310.58:34740957:7.44:8
SPY_120419P319,33:310.58:34740957:8.75:0
SPY_120419P320,1:310.58:34740957:9.85:1
SPY_120619P302.5,908:310.58:34740957:0.82:544
SPY_120619P303,5524:310.58:34740957:0.93:840
SPY_120619P304,2227:310.58:34740957:1.08:794
SPY_120619P305,12919:310.58:34740957:1.16:869
SPY_120619P306,6482:310.58:34740957:1.37:735
SPY_120619P307,12261:310.58:34740957:1.51:681
SPY_120619P307.5,1557:310.58:34740957:1.6:475
SPY_120619P308,9777:310.58:34740957:1.81:690
SPY_120619P309,21215:310.58:34740957:2.09:4895
SPY_120619P310,4368:310.58:34740957:2.4:2679
SPY_120619P311,4420:310.58:34740957:2.78:2437
SPY_120619P312,3039:310.58:34740957:3.22:960
SPY_120619P312.5,679:310.58:34740957:3.35:752
SPY_120619P313,2862:310.58:34740957:3.72:463
SPY_120619P314,1492:310.58:34740957:4.32:402
SPY_120619P315,2206:310.58:34740957:5.0:932
SPY_120619P316,782:310.58:34740957:5.87:122
SPY_120619P317,768:310.58:34740957:6.85:379
SPY_120619P317.5,753:310.58:34740957:7.33:126
SPY_120619P318,615:310.58:34740957:7.68:57
SPY_120919P301,1296:310.58:34740957:0.96:1
SPY_120919P302,243:310.58:34740957:0.88:13
SPY_120919P303,275:310.58:34740957:0.99:66
SPY_120919P304,241:310.58:34740957:1.22:363
SPY_120919P305,1801:310.58:34740957:1.32:177
SPY_120919P306,919:310.58:34740957:1.51:85
SPY_120919P307,3321:310.58:34740957:1.64:3408
SPY_120919P308,2982:310.58:34740957:1.95:1133
SPY_120919P309,1568:310.58:34740957:2.23:191
SPY_120919P310,545:310.58:34740957:2.42:801
SPY_120919P311,294:310.58:34740957:2.7:44
SPY_120919P312,456:310.58:34740957:3.13:75
SPY_120919P313,78:310.58:34740957:3.77:4
SPY_120919P314,133:310.58:34740957:4.46:12
SPY_120919P315,105:310.58:34740957:5.18:43
SPY_120919P316,31:310.58:34740957:5.77:30
SPY_120919P317,56:310.58:34740957:6.8:74
SPY_120919P318,57:310.58:34740957:7.71:43
SPY_120919P319,90:310.58:34740957:8.62:41
SPY_120919P320,104:310.58:34740957:9.92:0
SPY_121119P301,3120:310.58:34740957:0.98:37
SPY_121119P302,424:310.58:34740957:1.11:59
SPY_121119P303,587:310.58:34740957:1.31:59
SPY_121119P304,171:310.58:34740957:1.5:1
SPY_121119P305,310:310.58:34740957:1.54:37
SPY_121119P306,2895:310.58:34740957:1.72:2923
SPY_121119P307,3231:310.58:34740957:1.95:1537
SPY_121119P308,1917:310.58:34740957:2.34:308
SPY_121119P309,725:310.58:34740957:2.6:64
SPY_121119P310,1467:310.58:34740957:2.85:143
SPY_121119P311,1097:310.58:34740957:3.2:180
SPY_121119P312,907:310.58:34740957:3.52:289
SPY_121119P313,1361:310.58:34740957:4.61:4
SPY_121119P314,117:310.58:34740957:4.5:29
SPY_121119P315,318:310.58:34740957:5.63:4
SPY_121119P316,4:310.58:34740957:6.54:7
SPY_121119P317,21:310.58:34740957:7.45:4
SPY_121119P318,51:310.58:34740957:6.9:0
SPY_121119P319,50:310.58:34740957:8.57:10
SPY_121119P320,2:310.58:34740957:9.54:14
SPY_121319P302.5,961:310.58:34740957:1.52:298
SPY_121319P303,2413:310.58:34740957:1.6:202
SPY_121319P304,2037:310.58:34740957:1.61:62
SPY_121319P305,13731:310.58:34740957:1.87:8087
SPY_121319P306,1799:310.58:34740957:2.04:21161
SPY_121319P307,17163:310.58:34740957:2.19:126
SPY_121319P307.5,3343:310.58:34740957:2.41:414
SPY_121319P308,5704:310.58:34740957:2.51:1914
SPY_121319P309,5747:310.58:34740957:2.81:744
SPY_121319P310,10099:310.58:34740957:3.15:338
SPY_121319P311,3276:310.58:34740957:3.54:170
SPY_121319P312,1542:310.58:34740957:3.72:387
SPY_121319P312.5,803:310.58:34740957:4.18:123
SPY_121319P313,638:310.58:34740957:4.36:308
SPY_121319P314,606:310.58:34740957:4.79:89
SPY_121319P315,774:310.58:34740957:5.63:392
SPY_121319P316,1000:310.58:34740957:6.25:162
SPY_121319P317,1543:310.58:34740957:7.01:545
SPY_121319P317.5,671:310.58:34740957:7.48:123
SPY_121319P318,657:310.58:34740957:7.91:87
SPY_121619P301,389:310.58:34740957:1.4:1123
SPY_121619P302,271:310.58:34740957:1.44:612
SPY_121619P303,292:310.58:34740957:1.82:77
SPY_121619P304,2227:310.58:34740957:1.93:387
SPY_121619P305,1365:310.58:34740957:1.9:54
SPY_121619P306,1724:310.58:34740957:2.11:187
SPY_121619P307,5092:310.58:34740957:2.44:642
SPY_121619P308,1553:310.58:34740957:2.5:285
SPY_121619P309,408:310.58:34740957:2.91:83
SPY_121619P310,1257:310.58:34740957:3.27:1235
SPY_121619P311,422:310.58:34740957:3.52:112
SPY_121619P312,355:310.58:34740957:4.18:13
SPY_121619P313,144:310.58:34740957:4.89:13
SPY_121619P314,7:310.58:34740957:4.77:12
SPY_121619P315,92:310.58:34740957:5.43:23
SPY_121619P316,192:310.58:34740957:6.42:27
SPY_121619P317,3:310.58:34740957:5.8:0
SPY_121619P318,2:310.58:34740957:6.76:0
SPY_121619P319,47:310.58:34740957:7.76:0
SPY_121619P320,8:310.58:34740957:8.72:0
SPY_121819P301,580:310.58:34740957:1.46:14
SPY_121819P302,1787:310.58:34740957:1.78:94
SPY_121819P303,1257:310.58:34740957:1.82:105
SPY_121819P304,533:310.58:34740957:1.93:29
SPY_121819P305,1069:310.58:34740957:2.13:75
SPY_121819P306,1498:310.58:34740957:2.34:114
SPY_121819P307,6084:310.58:34740957:2.53:44
SPY_121819P308,2217:310.58:34740957:2.81:168
SPY_121819P309,1140:310.58:34740957:3.1:51
SPY_121819P310,4258:310.58:34740957:3.55:179
SPY_121819P311,784:310.58:34740957:3.76:14
SPY_121819P312,523:310.58:34740957:4.22:232
SPY_121819P313,1414:310.58:34740957:4.58:0
SPY_121819P314,822:310.58:34740957:6.1:0
SPY_121819P315,329:310.58:34740957:6.57:0
SPY_121819P316,51:310.58:34740957:6.32:2
SPY_121819P317,13:310.58:34740957:8.14:0
SPY_121819P318,3:310.58:34740957:7.31:0
SPY_121819P319,49:310.58:34740957:8.27:0
SPY_121819P320,25:310.58:34740957:10.77:0
SPY_122019P302.5,1037:310.58:34740957:2.2:268
SPY_122019P303,28081:310.58:34740957:2.3:737
SPY_122019P304,24660:310.58:34740957:2.52:1269
SPY_122019P305,204402:310.58:34740957:2.75:15316
SPY_122019P306,19050:310.58:34740957:3.0:5498
SPY_122019P307,29835:310.58:34740957:3.3:3424
SPY_122019P307.5,4637:310.58:34740957:3.38:1158
SPY_122019P308,24370:310.58:34740957:3.52:2531
SPY_122019P309,15917:310.58:34740957:3.95:3409
SPY_122019P310,31033:310.58:34740957:4.3:6567
SPY_122019P311,16273:310.58:34740957:4.71:4147
SPY_122019P312,13505:310.58:34740957:5.21:1048
SPY_122019P312.5,498:310.58:34740957:5.27:26
SPY_122019P313,3095:310.58:34740957:5.72:98
SPY_122019P314,3291:310.58:34740957:6.26:58
SPY_122019P315,11824:310.58:34740957:6.96:11957
SPY_122019P316,2669:310.58:34740957:7.54:433
SPY_122019P317,2754:310.58:34740957:8.36:32
SPY_122019P317.5,7:310.58:34740957:8.74:19
SPY_122019P318,6224:310.58:34740957:9.14:15
SPY_122319P301,807:310.58:34740957:2.27:22
SPY_122319P302,698:310.58:34740957:2.45:10
SPY_122319P303,864:310.58:34740957:2.38:23
SPY_122319P304,1942:310.58:34740957:2.52:554
SPY_122319P305,441:310.58:34740957:2.73:37
SPY_122319P306,258:310.58:34740957:2.96:436
SPY_122319P307,20:310.58:34740957:3.21:1312
SPY_122319P308,278:310.58:34740957:3.69:66
SPY_122319P309,164:310.58:34740957:4.33:4
SPY_122319P310,863:310.58:34740957:4.37:306
SPY_122319P311,442:310.58:34740957:4.65:52
SPY_122319P312,563:310.58:34740957:5.14:8
SPY_122319P313,403:310.58:34740957:6.0:2
SPY_122319P314,3:310.58:34740957:6.12:0
SPY_122319P315,10:310.58:34740957:7.55:7
SPY_122319P316,0:310.58:34740957:0.0:0
SPY_122319P317,1:310.58:34740957:8.41:0
SPY_122319P318,1:310.58:34740957:9.2:0
SPY_122319P319,0:310.58:34740957:0.0:0
SPY_122319P320,0:310.58:34740957:0.0:0
SPY_122419P301,8:310.58:34740957:2.2:1
SPY_122419P302,8:310.58:34740957:2.3:1
SPY_122419P303,158:310.58:34740957:2.6:4
SPY_122419P304,262:310.58:34740957:2.59:22
SPY_122419P305,20:310.58:34740957:2.85:11
SPY_122419P306,60:310.58:34740957:3.81:0
SPY_122419P307,55:310.58:34740957:3.3:3
SPY_122419P308,10:310.58:34740957:4.07:4
SPY_122419P309,88:310.58:34740957:4.09:82
SPY_122419P310,81:310.58:34740957:4.48:28
SPY_122419P311,13:310.58:34740957:4.84:206
SPY_122419P312,19:310.58:34740957:5.35:1
SPY_122419P313,40:310.58:34740957:4.98:0
SPY_122419P314,0:310.58:34740957:0.0:0
SPY_122419P315,21:310.58:34740957:6.9:4
SPY_122419P316,0:310.58:34740957:8.3:1
SPY_122419P317,4:310.58:34740957:8.6:4
SPY_122419P318,0:310.58:34740957:0.0:0
SPY_122419P319,0:310.58:34740957:0.0:0
SPY_122419P320,5:310.58:34740957:9.55:0
SPY_122719P302.5,443:310.58:34740957:2.84:0
SPY_122719P303,533:310.58:34740957:2.58:4
SPY_122719P304,719:310.58:34740957:2.79:11
SPY_122719P305,1241:310.58:34740957:3.2:172
SPY_122719P306,265:310.58:34740957:3.24:7
SPY_122719P307,790:310.58:34740957:3.68:10
SPY_122719P307.5,1186:310.58:34740957:3.97:7
SPY_122719P308,2317:310.58:34740957:3.79:8
SPY_122719P309,422:310.58:34740957:4.23:10
SPY_122719P310,1123:310.58:34740957:4.67:173
SPY_122719P311,784:310.58:34740957:5.17:222
SPY_122719P312,530:310.58:34740957:5.45:6
SPY_122719P312.5,520:310.58:34740957:4.95:0
SPY_122719P313,507:310.58:34740957:5.92:2
SPY_122719P314,4:310.58:34740957:6.46:1
SPY_122719P315,137:310.58:34740957:7.86:0
SPY_122719P316,1:310.58:34740957:9.15:0
SPY_122719P317,7:310.58:34740957:7.88:0
SPY_122719P317.5,0:310.58:34740957:0.0:0
SPY_122719P318,0:310.58:34740957:9.09:1
SPY_123119P301,7065:310.58:34740957:2.46:207
SPY_123119P302,21894:310.58:34740957:2.69:388
SPY_123119P303,2876:310.58:34740957:3.0:209
SPY_123119P304,3562:310.58:34740957:3.02:11
SPY_123119P305,39008:310.58:34740957:3.27:165
SPY_123119P306,8844:310.58:34740957:3.66:160
SPY_123119P307,2327:310.58:34740957:3.96:113
SPY_123119P308,14301:310.58:34740957:4.19:576
SPY_123119P309,4342:310.58:34740957:4.49:51
SPY_123119P310,18812:310.58:34740957:4.94:481
SPY_123119P311,3012:310.58:34740957:5.4:314
SPY_123119P312,2000:310.58:34740957:5.65:157
SPY_123119P313,1313:310.58:34740957:6.31:61
SPY_123119P314,3093:310.58:34740957:6.9:42
SPY_123119P315,2962:310.58:34740957:7.42:35
SPY_123119P316,1459:310.58:34740957:8.14:175
SPY_123119P317,1245:310.58:34740957:8.87:38
SPY_123119P318,3104:310.58:34740957:9.77:1
SPY_123119P319,742:310.58:34740957:10.19:39
SPY_123119P320,1306:310.58:34740957:11.07:38
SPY_010320P302.5,0:310.58:34740957:3.09:2
SPY_010320P303,0:310.58:34740957:3.04:1
SPY_010320P304,0:310.58:34740957:3.34:70
SPY_010320P305,0:310.58:34740957:3.54:27
SPY_010320P306,0:310.58:34740957:3.75:1009
SPY_010320P307,0:310.58:34740957:4.09:60
SPY_010320P307.5,0:310.58:34740957:4.57:322
SPY_010320P308,0:310.58:34740957:4.51:24
SPY_010320P309,0:310.58:34740957:5.05:2
SPY_010320P310,0:310.58:34740957:5.17:35
SPY_010320P311,0:310.58:34740957:5.34:6
SPY_010320P312,0:310.58:34740957:5.83:3
SPY_010320P312.5,0:310.58:34740957:0.0:0
SPY_010320P313,0:310.58:34740957:0.0:0
SPY_010320P314,0:310.58:34740957:7.07:1
SPY_010320P315,0:310.58:34740957:0.0:0
SPY_010320P316,0:310.58:34740957:8.34:1
SPY_010320P317,0:310.58:34740957:0.0:0
SPY_010320P317.5,0:310.58:34740957:0.0:0
SPY_010320P318,0:310.58:34740957:0.0:0
SPY_011720P301,9344:310.58:34740957:3.64:1367
SPY_011720P302,28079:310.58:34740957:3.76:526
SPY_011720P303,18086:310.58:34740957:4.09:284
SPY_011720P304,22769:310.58:34740957:4.23:527
SPY_011720P305,19305:310.58:34740957:4.58:13466
SPY_011720P306,10529:310.58:34740957:4.86:873
SPY_011720P307,20314:310.58:34740957:5.15:799
SPY_011720P308,8785:310.58:34740957:5.52:1055
SPY_011720P309,5008:310.58:34740957:5.86:846
SPY_011720P310,33967:310.58:34740957:6.15:2972
SPY_011720P311,10165:310.58:34740957:6.5:1095
SPY_011720P312,4518:310.58:34740957:6.94:482
SPY_011720P313,2904:310.58:34740957:7.23:117
SPY_011720P314,2336:310.58:34740957:7.61:121
SPY_011720P315,4677:310.58:34740957:8.46:795
SPY_011720P316,1297:310.58:34740957:9.41:4
SPY_011720P317,1354:310.58:34740957:9.3:633
SPY_011720P318,333:310.58:34740957:10.34:560
SPY_011720P319,1017:310.58:34740957:11.02:102
SPY_011720P320,2713:310.58:34740957:11.75:1069
