Symbol,20191121
SPY_120919C306,47:310.57:34736150:6.24:31
SPY_120919C307,67:310.57:34736150:5.58:0
SPY_120919C308,91:310.57:34736150:4.71:0
SPY_120919C309,706:310.57:34736150:3.94:96
SPY_120919C310,661:310.57:34736150:3.05:134
SPY_120919C311,801:310.57:34736150:2.47:142
SPY_120919C312,1279:310.57:34736150:1.87:80
SPY_120919C313,313:310.57:34736150:1.54:68
SPY_120919C314,341:310.57:34736150:0.93:28
SPY_120919C315,5133:310.57:34736150:0.7:81
SPY_120919C316,1981:310.57:34736150:0.47:55
SPY_120919C317,500:310.57:34736150:0.29:124
SPY_120919C318,115:310.57:34736150:0.22:30
SPY_120919C319,75:310.57:34736150:0.14:9
SPY_120919C320,313:310.57:34736150:0.1:14
SPY_121119C301,10:310.57:34736150:9.91:0
SPY_121119C302,77:310.57:34736150:9.77:1
SPY_121119C303,45:310.57:34736150:8.98:3
SPY_121119C304,183:310.57:34736150:8.12:8
SPY_121119C305,637:310.57:34736150:7.28:3
SPY_121119C306,664:310.57:34736150:6.44:5
SPY_121119C307,322:310.57:34736150:5.56:71
SPY_121119C308,495:310.57:34736150:4.92:17
SPY_121119C309,831:310.57:34736150:4.2:28
SPY_121119C310,2601:310.57:34736150:3.57:104
SPY_121119C311,1181:310.57:34736150:2.73:105
SPY_121119C312,507:310.57:34736150:2.2:210
SPY_121119C313,1273:310.57:34736150:1.8:83
SPY_121119C314,1096:310.57:34736150:1.28:37
SPY_121119C315,2061:310.57:34736150:0.94:11
SPY_121119C316,874:310.57:34736150:0.62:19
SPY_121119C317,483:310.57:34736150:0.48:20
SPY_121119C318,554:310.57:34736150:0.32:99
SPY_121119C319,554:310.57:34736150:0.22:13
SPY_121119C320,12794:310.57:34736150:0.14:1591
SPY_121319C302.5,642:310.57:34736150:9.41:1
SPY_121319C303,955:310.57:34736150:9.03:13
SPY_121319C304,1061:310.57:34736150:8.38:41
SPY_121319C305,9286:310.57:34736150:7.44:39
SPY_121319C306,562:310.57:34736150:6.94:138
SPY_121319C307,9379:310.57:34736150:6.18:58
SPY_121319C307.5,1171:310.57:34736150:5.78:0
SPY_121319C308,2071:310.57:34736150:5.14:160
SPY_121319C309,4517:310.57:34736150:4.4:177
SPY_121319C310,8269:310.57:34736150:3.72:413
SPY_121319C311,4088:310.57:34736150:3.08:254
SPY_121319C312,3294:310.57:34736150:2.51:455
SPY_121319C312.5,5227:310.57:34736150:2.44:776
SPY_121319C313,1658:310.57:34736150:1.98:749
SPY_121319C314,1805:310.57:34736150:1.52:187
SPY_121319C315,3663:310.57:34736150:1.18:409
SPY_121319C316,4228:310.57:34736150:0.87:286
SPY_121319C317,4977:310.57:34736150:0.67:778
SPY_121319C317.5,3267:310.57:34736150:0.51:13
SPY_121319C318,6476:310.57:34736150:0.42:734
SPY_121619C301,10:310.57:34736150:10.8:2
SPY_121619C302,13:310.57:34736150:9.93:11
SPY_121619C303,165:310.57:34736150:9.08:1
SPY_121619C304,208:310.57:34736150:8.51:13
SPY_121619C305,936:310.57:34736150:7.81:9
SPY_121619C306,655:310.57:34736150:6.73:38
SPY_121619C307,956:310.57:34736150:6.03:316
SPY_121619C308,858:310.57:34736150:5.19:1
SPY_121619C309,283:310.57:34736150:4.77:30
SPY_121619C310,4949:310.57:34736150:4.07:15
SPY_121619C311,1436:310.57:34736150:3.22:105
SPY_121619C312,2337:310.57:34736150:2.64:373
SPY_121619C313,1508:310.57:34736150:2.16:18
SPY_121619C314,2214:310.57:34736150:1.66:32
SPY_121619C315,3117:310.57:34736150:1.31:46
SPY_121619C316,1619:310.57:34736150:0.99:6
SPY_121619C317,3734:310.57:34736150:0.71:61
SPY_121619C318,309:310.57:34736150:0.5:530
SPY_121619C319,298:310.57:34736150:0.38:30
SPY_121619C320,14829:310.57:34736150:0.25:38
SPY_121819C301,5:310.57:34736150:11.28:4
SPY_121819C302,12:310.57:34736150:10.26:7
SPY_121819C303,10:310.57:34736150:9.67:8
SPY_121819C304,14:310.57:34736150:8.63:12
SPY_121819C305,200:310.57:34736150:7.87:50
SPY_121819C306,164:310.57:34736150:7.32:27
SPY_121819C307,318:310.57:34736150:6.38:7
SPY_121819C308,731:310.57:34736150:5.68:13
SPY_121819C309,1689:310.57:34736150:4.78:163
SPY_121819C310,2278:310.57:34736150:4.15:1606
SPY_121819C311,1827:310.57:34736150:3.63:679
SPY_121819C312,3112:310.57:34736150:2.85:959
SPY_121819C313,384:310.57:34736150:2.4:474
SPY_121819C314,1241:310.57:34736150:1.86:515
SPY_121819C315,2808:310.57:34736150:1.42:67
SPY_121819C316,241:310.57:34736150:1.17:28
SPY_121819C317,818:310.57:34736150:0.81:7
SPY_121819C318,1350:310.57:34736150:0.64:33
SPY_121819C319,207:310.57:34736150:0.46:2
SPY_121819C320,1644:310.57:34736150:0.33:74
SPY_122019C302.5,49:310.57:34736150:10.14:54
SPY_122019C303,34154:310.57:34736150:9.89:218
SPY_122019C304,58779:310.57:34736150:8.92:130
SPY_122019C305,83022:310.57:34736150:7.99:297
SPY_122019C306,46501:310.57:34736150:7.14:556
SPY_122019C307,35488:310.57:34736150:6.42:542
SPY_122019C307.5,544:310.57:34736150:6.0:15
SPY_122019C308,33362:310.57:34736150:5.58:768
SPY_122019C309,41914:310.57:34736150:4.91:1726
SPY_122019C310,139268:310.57:34736150:4.17:4455
SPY_122019C311,49054:310.57:34736150:3.55:2706
SPY_122019C312,34064:310.57:34736150:2.93:2200
SPY_122019C312.5,2521:310.57:34736150:2.7:487
SPY_122019C313,19171:310.57:34736150:2.38:1627
SPY_122019C314,38893:310.57:34736150:1.91:2057
SPY_122019C315,86748:310.57:34736150:1.55:13454
SPY_122019C316,33390:310.57:34736150:1.16:1411
SPY_122019C317,24700:310.57:34736150:0.89:6582
SPY_122019C317.5,2486:310.57:34736150:0.82:954
SPY_122019C318,31853:310.57:34736150:0.67:1906
SPY_122319C301,0:310.57:34736150:0.0:0
SPY_122319C302,3:310.57:34736150:10.72:0
SPY_122319C303,0:310.57:34736150:0.0:0
SPY_122319C304,5:310.57:34736150:10.27:0
SPY_122319C305,595:310.57:34736150:8.18:0
SPY_122319C306,4:310.57:34736150:7.24:3
SPY_122319C307,11:310.57:34736150:6.1:0
SPY_122319C308,72:310.57:34736150:5.89:1
SPY_122319C309,134:310.57:34736150:4.9:10
SPY_122319C310,11349:310.57:34736150:4.21:530
SPY_122319C311,3522:310.57:34736150:3.52:63
SPY_122319C312,1714:310.57:34736150:2.97:11
SPY_122319C313,2671:310.57:34736150:2.58:276
SPY_122319C314,2208:310.57:34736150:2.11:167
SPY_122319C315,2847:310.57:34736150:1.53:159
SPY_122319C316,640:310.57:34736150:1.3:75
SPY_122319C317,445:310.57:34736150:0.98:820
SPY_122319C318,616:310.57:34736150:0.66:271
SPY_122319C319,2:310.57:34736150:0.5:9
SPY_122319C320,1345:310.57:34736150:0.39:32
SPY_122419C301,0:310.57:34736150:0.0:0
SPY_122419C302,0:310.57:34736150:10.75:1
SPY_122419C303,0:310.57:34736150:0.0:0
SPY_122419C304,0:310.57:34736150:0.0:0
SPY_122419C305,7:310.57:34736150:8.23:2
SPY_122419C306,0:310.57:34736150:0.0:0
SPY_122419C307,3:310.57:34736150:7.26:0
SPY_122419C308,10:310.57:34736150:5.66:17
SPY_122419C309,3:310.57:34736150:5.08:3
SPY_122419C310,21:310.57:34736150:4.13:35
SPY_122419C311,23:310.57:34736150:3.63:2
SPY_122419C312,12:310.57:34736150:3.06:209
SPY_122419C313,0:310.57:34736150:2.59:6
SPY_122419C314,25:310.57:34736150:2.14:17
SPY_122419C315,16:310.57:34736150:1.59:3
SPY_122419C316,21:310.57:34736150:1.31:49
SPY_122419C317,4:310.57:34736150:0.97:15
SPY_122419C318,4:310.57:34736150:0.76:0
SPY_122419C319,2:310.57:34736150:0.58:20
SPY_122419C320,64:310.57:34736150:0.39:6
SPY_122719C302.5,25:310.57:34736150:10.25:10
SPY_122719C303,461:310.57:34736150:10.06:15
SPY_122719C304,209:310.57:34736150:8.98:1
SPY_122719C305,3002:310.57:34736150:8.2:13
SPY_122719C306,462:310.57:34736150:7.52:2
SPY_122719C307,263:310.57:34736150:6.88:1
SPY_122719C307.5,359:310.57:34736150:6.28:0
SPY_122719C308,1157:310.57:34736150:5.42:11
SPY_122719C309,1626:310.57:34736150:5.28:102
SPY_122719C310,3142:310.57:34736150:4.4:714
SPY_122719C311,3905:310.57:34736150:3.73:918
SPY_122719C312,2559:310.57:34736150:3.31:87
SPY_122719C312.5,1516:310.57:34736150:2.73:58
SPY_122719C313,1374:310.57:34736150:2.69:12
SPY_122719C314,2346:310.57:34736150:2.23:2
SPY_122719C315,3106:310.57:34736150:1.72:35
SPY_122719C316,4125:310.57:34736150:1.44:9
SPY_122719C317,4269:310.57:34736150:1.05:32
SPY_122719C317.5,1608:310.57:34736150:0.98:10
SPY_122719C318,1281:310.57:34736150:0.76:8
SPY_123119C301,5497:310.57:34736150:11.88:90
SPY_123119C302,9116:310.57:34736150:10.92:15
SPY_123119C303,6101:310.57:34736150:10.23:91
SPY_123119C304,4203:310.57:34736150:9.07:0
SPY_123119C305,21345:310.57:34736150:8.2:781
SPY_123119C306,7238:310.57:34736150:7.62:96
SPY_123119C307,5744:310.57:34736150:6.51:47
SPY_123119C308,7613:310.57:34736150:5.75:581
SPY_123119C309,6778:310.57:34736150:5.26:56
SPY_123119C310,30011:310.57:34736150:4.52:883
SPY_123119C311,5658:310.57:34736150:3.95:68
SPY_123119C312,8944:310.57:34736150:3.4:76
SPY_123119C313,6111:310.57:34736150:2.81:26
SPY_123119C314,17915:310.57:34736150:2.29:233
SPY_123119C315,35446:310.57:34736150:1.94:1525
SPY_123119C316,19341:310.57:34736150:1.48:253
SPY_123119C317,1364:310.57:34736150:1.16:149
SPY_123119C318,9751:310.57:34736150:0.9:131
SPY_123119C319,1875:310.57:34736150:0.68:156
SPY_123119C320,53493:310.57:34736150:0.55:111
SPY_010320C302.5,0:310.57:34736150:10.41:149
SPY_010320C303,0:310.57:34736150:10.0:306
SPY_010320C304,0:310.57:34736150:9.37:849
SPY_010320C305,0:310.57:34736150:8.36:5
SPY_010320C306,0:310.57:34736150:0.0:0
SPY_010320C307,0:310.57:34736150:6.67:1
SPY_010320C307.5,0:310.57:34736150:0.0:0
SPY_010320C308,0:310.57:34736150:5.99:1
SPY_010320C309,0:310.57:34736150:0.0:0
SPY_010320C310,0:310.57:34736150:4.88:17
SPY_010320C311,0:310.57:34736150:4.25:16
SPY_010320C312,0:310.57:34736150:3.52:1
SPY_010320C312.5,0:310.57:34736150:3.15:5
SPY_010320C313,0:310.57:34736150:2.9:2
SPY_010320C314,0:310.57:34736150:0.0:0
SPY_010320C315,0:310.57:34736150:2.15:80
SPY_010320C316,0:310.57:34736150:1.7:12
SPY_010320C317,0:310.57:34736150:1.31:157
SPY_010320C317.5,0:310.57:34736150:0.0:0
SPY_010320C318,0:310.57:34736150:1.1:21
SPY_011720C301,21041:310.57:34736150:12.74:18
SPY_011720C302,34230:310.57:34736150:11.74:56
SPY_011720C303,6768:310.57:34736150:11.08:25
SPY_011720C304,21843:310.57:34736150:10.13:204
SPY_011720C305,25870:310.57:34736150:9.29:665
SPY_011720C306,14367:310.57:34736150:8.75:3
SPY_011720C307,23992:310.57:34736150:8.13:142
SPY_011720C308,16661:310.57:34736150:7.23:1641
SPY_011720C309,17802:310.57:34736150:6.59:505
SPY_011720C310,135696:310.57:34736150:5.82:1059
SPY_011720C311,9998:310.57:34736150:5.3:787
SPY_011720C312,18186:310.57:34736150:4.71:742
SPY_011720C313,10132:310.57:34736150:4.05:196
SPY_011720C314,5334:310.57:34736150:3.47:286
SPY_011720C315,97554:310.57:34736150:3.02:1320
SPY_011720C316,12671:310.57:34736150:2.71:461
SPY_011720C317,9659:310.57:34736150:2.19:132
SPY_011720C318,3884:310.57:34736150:1.92:73
SPY_011720C319,6295:310.57:34736150:1.61:117
SPY_011720C320,37479:310.57:34736150:1.28:1293
